DateTime,PairID,PairName,Open,High,Low,Close,Volume,Spread,SMA_10,SMA_50,Trend,RSI_14,RSI_Signal,EMA_12,EMA_26,MACD,MACD_Signal_Line,MACD_Histogram,MACD_Signal,BB_Middle,BB_Upper,BB_Lower,BB_Signal,ATR_14,Trend_Score,RSI_Score,MACD_Score,BB_Score,TechnicalScore,TechnicalSignal,ML_Signal,ML_Probability_Up,FinalAISignal,SignalConfidence,Position,NetPnL,CumulativePnL,Drawdown,FilteredPosition,FilteredNetPnL,FilteredCumulativePnL,FilteredDrawdown,Date,Hour,Month,Year,RiskLevel
2023-01-01 00:00:00,1,EUR/USD,1.08103,1.08103,1.08019,1.08054,2651,0.9,,,HOLD,,NEUTRAL,1.08054,1.08054,0.0,0.0,0.0,NEUTRAL,,,,NEUTRAL,,0,0,0,0,0,HOLD,NO_ML_SIGNAL,0.5,HOLD,50,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,2023-01-01,0,1,2023,Medium
2023-01-01 01:00:00,1,EUR/USD,1.0801,1.08043,1.07974,1.08028,2292,1.0,,,HOLD,,NEUTRAL,1.0805,1.080520740740741,-2.0740740740876618e-05,-4.148148148175324e-06,-1.6592592592701295e-05,SELL,,,,NEUTRAL,,0,0,-1,0,-1,SELL,NO_ML_SIGNAL,0.5,HOLD,50,-1.0,-36.0000000000149,-36.0000000000149,-36.0000000000149,0.0,0.0,0.0,0.0,2023-01-01,1,1,2023,Medium
2023-01-01 02:00:00,1,EUR/USD,1.08036,1.08158,1.07961,1.08054,1796,1.2,,,HOLD,,NEUTRAL,1.0805061538461538,1.0805221673525378,-1.601350638402721e-05,-6.5212197953457015e-06,-9.492286588681507e-06,SELL,,,,NEUTRAL,,0,0,-1,0,-1,SELL,NO_ML_SIGNAL,0.5,HOLD,50,-1.0,-46.000000000000696,-82.0000000000156,-82.0000000000156,0.0,0.0,0.0,0.0,2023-01-01,2,1,2023,Medium
2023-01-01 03:00:00,1,EUR/USD,1.08068,1.08126,1.07973,1.08088,4019,1.4,,,HOLD,,NEUTRAL,1.0805636686390532,1.0805486734745722,1.499516448100202e-05,-2.217942940076157e-06,1.721310742107818e-05,BUY,,,,NEUTRAL,,0,0,1,0,1,BUY,NO_ML_SIGNAL,0.5,HOLD,50,1.0,-72.00000000000249,-154.00000000001808,-154.00000000001808,0.0,-0.0,0.0,0.0,2023-01-01,3,1,2023,Medium
2023-01-01 04:00:00,1,EUR/USD,1.08042,1.08042,1.07967,1.0803,2207,1.6,,,HOLD,,NEUTRAL,1.080523104233045,1.0805302532171963,-7.148984151550408e-06,-3.2041511823710075e-06,-3.9448329691794e-06,SELL,,,,NEUTRAL,,0,0,-1,0,-1,SELL,NO_ML_SIGNAL,0.5,HOLD,50,-1.0,16.0000000000098,-138.00000000000827,-138.00000000000827,0.0,-0.0,0.0,0.0,2023-01-01,4,1,2023,Medium
2023-01-01 05:00:00,1,EUR/USD,1.07981,1.08053,1.07981,1.07998,2972,1.9,,,HOLD,,NEUTRAL,1.0804395497356534,1.0804894937196263,-4.994398397317745e-05,-1.2552117740532298e-05,-3.739186623264515e-05,SELL,,,,NEUTRAL,,0,0,-1,0,-1,SELL,NO_ML_SIGNAL,0.5,HOLD,50,-1.0,-108.00000000000574,-246.000000000014,-246.000000000014,0.0,0.0,0.0,0.0,2023-01-01,5,1,2023,Medium
2023-01-01 06:00:00,1,EUR/USD,1.08023,1.08153,1.08023,1.08087,1534,2.0,,,HOLD,,NEUTRAL,1.0805057728532452,1.0805176793700246,-1.190651677940302e-05,-1.2422997548306444e-05,5.164807689034239e-07,BUY,,,,NEUTRAL,,0,0,1,0,1,BUY,NO_ML_SIGNAL,0.5,HOLD,50,1.0,1.0000000000043483,-245.0000000000097,-245.0000000000097,0.0,0.0,0.0,0.0,2023-01-01,6,1,2023,Medium
2023-01-01 07:00:00,1,EUR/USD,1.08075,1.0812,1.08061,1.08108,1350,1.1,,,HOLD,,NEUTRAL,1.0805941154912075,1.0805593327500227,3.47827411848467e-05,-2.981849801675815e-06,3.776459098652252e-05,BUY,,,,NEUTRAL,,0,0,1,0,1,BUY,NO_ML_SIGNAL,0.5,HOLD,50,1.0,-60.99999999999449,-306.0000000000041,-306.0000000000041,0.0,-0.0,0.0,0.0,2023-01-01,7,1,2023,Medium
2023-01-01 08:00:00,1,EUR/USD,1.08001,1.08116,1.08001,1.08058,3505,0.9,,,HOLD,,NEUTRAL,1.0805919438771756,1.0805608636574284,3.108021974718156e-05,3.83056410809566e-06,2.72496556390859e-05,BUY,,,,NEUTRAL,,0,0,1,0,1,BUY,NO_ML_SIGNAL,0.5,HOLD,50,1.0,-50.00000000000215,-356.0000000000063,-356.0000000000063,0.0,-0.0,0.0,0.0,2023-01-01,8,1,2023,Medium
2023-01-01 09:00:00,1,EUR/USD,1.08046,1.08048,1.07969,1.08017,4348,0.9,1.080522,,HOLD,,NEUTRAL,1.0805270294345333,1.080531910793915,-4.881359381814221e-06,2.0881794101136835e-06,-6.969538791927905e-06,SELL,,,,NEUTRAL,,0,0,-1,0,-1,SELL,NO_ML_SIGNAL,0.5,HOLD,50,-1.0,81.99999999999665,-274.00000000000966,-274.00000000000966,0.0,-0.0,0.0,0.0,2023-01-01,9,1,2023,Medium
